Конфигурация,Локализация,Отношение к говорящему (ладонь),Ориентация (ладонь),Направление пальцев,Траекторное + / Локальное -,Направление движения,Характер движения,Повтор
Сомкнуты в О,нейтральная,от говорящего,вниз,вниз,локальный,локальный,по прямой,да
У,нейтральная,к говорящему,ладонь к себе,в сторону,траекторный,в сторону,по волне,нет
Сомкнуты в О,нейтральная,от говорящего,вниз,вниз,траекторный,в сторону,по волне,нет
Сомкнуты в О,нейтральная,от говорящего,вниз,вниз,траекторный,вперед,по волне,нет
У,нейтральная,к говорящему,ладонь к себе,в сторону,траекторный,в сторону,по прямой,да
Сомкнуты в О,противоложное плечо,от говорящего,вниз,вниз,локальный,локальный,сжимается-разжимается,да
Ч,противоложное плечо,от говорящего,вниз,вниз,локальный,локальный,сжимается-разжимается,да
Сомкнуты в О,нейтральная,от говорящего,вниз,вниз,траекторный,в сторону,по волне,да
Сомкнуты в О,нейтральная,к говорящему,ладонь к себе,в сторону,траекторный,в сторону,по прямой,нет
У,нейтральная,к говорящему,ладонь к себе,в сторону,траекторный,в сторону,по волне,да
1,противоложное плечо,от говорящего,вниз,в сторону,локальный,локальный,вниз,да
1,нейтральная,от говорящего,вниз,вниз,траекторный,в сторону,по волне,нет
кулак,нейтральная,к говорящему,ладонь к себе,в сторону,локальный,локальный,сжимается-разжимается,да
Ч,нейтральная,от говорящего,вниз,вниз,траекторный,в сторону,по волне,нет
У,нейтральная,к говорящему,ладонь к себе,в сторону,траекторный,в сторону,по прямой,нет
Сомкнуты в О,свое плечо,от говорящего,вниз,вниз,локальный,локальный,сжимается-разжимается,да
У,нейтральная,к говорящему,ладонь к себе,в сторону,локальный,локальный,трясется,да
Сомкнуты в О,противоложное плечо,от говорящего,вниз,вниз,локальный,локальный,вниз,да
Р,нейтральная,от говорящего,ладонь от себя,вперед,локальный,локальный,трясется,да
У,нейтральная,к говорящему,ладонь к себе,в сторону,траекторный,вниз,по волне,нет
Сомкнуты в О,нейтральная,от говорящего,ребром,в сторону,траекторный,в сторону,по прямой,нет
Сомкнуты в О,нейтральная,от говорящего,вниз,вниз,траекторный,в сторону,крючком,нет
Сомкнуты в О,нейтральная,от говорящего,ладонь от себя,вперед,траекторный,вниз,по волне,нет
О,нейтральная,от говорящего,вниз,вниз,траекторный,в сторону,по волне,нет
Сомкнуты в О,противоложное плечо,от говорящего,вниз,вниз,локальный,локальный,вверх,да
Сомкнуты в О,нейтральная,от говорящего,вниз,вниз,траекторный,в сторону,по зигзагу,нет
