Конфигурация,Локализация,Отношение к говорящему (ладонь),Ориентация (ладонь),Направление пальцев,Траекторное + / Локальное -,Направление движения,Характер движения,Повтор
1,нейтральная,от говорящего,ребром,вверх,локальный,локальный,вниз,да
Сомкнуты в О,нейтральная,от говорящего,вниз,вниз,траекторный,в сторону,по волне,нет
1,нейтральная,от говорящего,ребром,вверх,локальный,локальный,трясется,да
Э,нейтральная,от говорящего,ребром,в сторону,локальный,локальный,трясется,да
У,нейтральная,к говорящему,ладонь к себе,в сторону,траекторный,вперед,по прямой,нет
1,нейтральная,к говорящему,ладонь к себе,в сторону,траекторный,вперед,по прямой,да
У,нейтральная,к говорящему,ладонь к себе,в сторону,локальный,локальный,трясется,да
Э,нейтральная,от говорящего,ребром,в сторону,локальный,локальный,по прямой,да
Э,подбородок,от говорящего,ребром,в сторону,локальный,локальный,по прямой,да
4,нейтральная,от говорящего,вниз,вперед,локальный,локальный,вниз,да
Э,нейтральная,от говорящего,ребром,в сторону,локальный,локальный,трясется,да
Сомкнуты в О,нейтральная,от говорящего,вниз,вниз,траекторный,в сторону,по прямой,нет
Сомкнуты в О,нейтральная,от говорящего,вниз,вниз,траекторный,в сторону,по волне,нет
К,нейтральная,от говорящего,ребром,вверх,локальный,локальный,вниз,да
К,нейтральная,от говорящего,ребром,вверх,локальный,локальный,вниз,да
1,нейтральная,к говорящему,ладонь к себе,в сторону,локальный,локальный,по прямой,да
У,нейтральная,к говорящему,ладонь к себе,в сторону,траекторный,в сторону,по волне,нет
К,нейтральная,от говорящего,ребром,вверх,локальный,локальный,вниз,да
У,противоложное плечо,к говорящему,ладонь к себе,в сторону,локальный,локальный,трясется,да
1,нейтральная,от говорящего,ребром,вверх,локальный,локальный,вниз,да
Ч,нейтральная,от говорящего,вниз,вниз,траекторный,в сторону,по волне,нет
1,шея,к говорящему,ладонь к себе,в сторону,локальный,локальный,крутится,да
Х,подбородок,к говорящему,ладонь к себе,вперед,локальный,локальный,трясется,да
Г,подбородок,к говорящему,ребром,вверх,локальный,локальный,касается,да
4,голова,от говорящего,ладонь от себя,вверх,траекторный,вниз,по волне,нет
1,нейтральная,к говорящему,ладонь к себе,вверх,локальный,локальный,крутится,да
О,нейтральная,от говорящего,ладонь от себя,вперед,траекторный,в сторону,крючком,нет
Г,подбородок,от говорящего,ребром,вперед,локальный,локальный,касается,да
Н,нейтральная,от говорящего,ребром,в сторону,локальный,локальный,вниз,да
1,нейтральная,к говорящему,ладонь к себе,в сторону,локальный,локальный,вниз,да
1,нейтральная,от говорящего,вниз,вниз,локальный,локальный,крутится,да
У,нейтральная,от говорящего,вниз,вперед,локальный,локальный,по прямой,да
1,нейтральная,от говорящего,ребром,вверх,локальный,локальный,вниз,да
1,нейтральная,от говорящего,ладонь от себя,вверх,локальный,локальный,трясется,да
средний палец вперед,свое плечо,к говорящему,ладонь к себе,вверх,локальный,локальный,трясется,да
